handoff_id,package_id,hub_id,driver_id,sequence,arrived_at,departed_at,status,notes
HO-0001,PKG-1234,HUB-SEA,DRV-001,1,2025-01-15T00:00:00,2025-01-15T04:00:00,completed,
HO-0002,PKG-1234,HUB-DEN,DRV-002,2,2025-01-15T12:00:00,2025-01-15T16:00:00,completed,
HO-0003,PKG-1234,HUB-CHI,DRV-003,3,2025-01-16T00:00:00,2025-01-18T04:00:00,delayed,"weather - Roads impassable, 18 inches of snow at O'Hare corridor"
HO-0004,PKG-1234,HUB-ATL,DRV-004,4,2025-01-18T12:00:00,2025-01-18T16:00:00,completed,
HO-0005,PKG-2001,HUB-SEA,DRV-006,1,2025-01-15T03:00:00,2025-01-15T07:00:00,completed,
HO-0006,PKG-2001,HUB-DEN,DRV-007,2,2025-01-15T15:00:00,2025-01-15T19:00:00,completed,
HO-0007,PKG-2001,HUB-CHI,DRV-008,3,2025-01-16T03:00:00,2025-01-16T07:00:00,completed,
HO-0008,PKG-2001,HUB-ATL,DRV-004,4,2025-01-16T15:00:00,2025-01-16T19:00:00,completed,
HO-0009,PKG-2045,HUB-DEN,DRV-007,1,2025-01-15T06:00:00,2025-01-15T10:00:00,completed,
HO-0010,PKG-2045,HUB-CHI,DRV-003,2,2025-01-15T18:00:00,2025-01-15T22:00:00,completed,
HO-0011,PKG-2045,HUB-ATL,DRV-004,3,2025-01-16T06:00:00,2025-01-16T10:00:00,completed,
HO-0012,PKG-3010,HUB-SEA,DRV-001,1,2025-01-14T00:00:00,2025-01-14T04:00:00,completed,
HO-0013,PKG-3010,HUB-DEN,DRV-002,2,2025-01-14T12:00:00,2025-01-14T16:00:00,completed,
HO-0014,PKG-3010,HUB-CHI,DRV-008,3,2025-01-15T00:00:00,2025-01-15T04:00:00,completed,
HO-0015,PKG-3022,HUB-SEA,DRV-006,1,2025-01-14T12:00:00,2025-01-14T16:00:00,completed,
HO-0016,PKG-3022,HUB-DEN,DRV-007,2,2025-01-15T00:00:00,2025-01-15T04:00:00,completed,
HO-0017,PKG-3022,HUB-CHI,DRV-003,3,2025-01-15T12:00:00,2025-01-15T16:00:00,completed,
HO-0018,PKG-4001,HUB-SEA,DRV-001,1,2025-01-15T01:00:00,2025-01-15T05:00:00,completed,
HO-0019,PKG-4001,HUB-DEN,DRV-002,2,2025-01-15T13:00:00,2025-01-15T17:00:00,completed,
HO-0020,PKG-4001,HUB-CHI,DRV-008,3,2025-01-16T01:00:00,2025-01-16T05:00:00,completed,
HO-0021,PKG-4001,HUB-ATL,DRV-004,4,2025-01-16T13:00:00,2025-01-16T17:00:00,completed,
HO-0022,PKG-4015,HUB-DEN,DRV-007,1,2025-01-15T08:00:00,2025-01-15T12:00:00,completed,
HO-0023,PKG-4015,HUB-CHI,DRV-003,2,2025-01-15T20:00:00,2025-01-16T00:00:00,completed,
HO-0024,PKG-4015,HUB-ATL,DRV-004,3,2025-01-16T08:00:00,2025-01-16T12:00:00,completed,
HO-0025,PKG-5003,HUB-SEA,DRV-006,1,2025-01-14T18:00:00,2025-01-14T22:00:00,completed,
HO-0026,PKG-5003,HUB-DEN,DRV-002,2,2025-01-15T06:00:00,2025-01-15T10:00:00,completed,
HO-0027,PKG-5003,HUB-CHI,DRV-008,3,2025-01-15T18:00:00,2025-01-15T22:00:00,completed,
HO-0028,PKG-6001,HUB-ATL,DRV-004,1,2025-01-12T00:00:00,2025-01-12T04:00:00,completed,
HO-0029,PKG-6002,HUB-MIA,DRV-005,1,2025-01-15T00:00:00,2025-01-15T04:00:00,completed,
HO-0030,PKG-6002,HUB-ATL,DRV-004,2,2025-01-15T12:00:00,2025-01-15T16:00:00,completed,
HO-0031,PKG-6002,HUB-DEN,DRV-007,3,2025-01-16T00:00:00,2025-01-16T04:00:00,completed,
HO-0032,PKG-6002,HUB-SEA,DRV-001,4,2025-01-16T12:00:00,2025-01-16T16:00:00,completed,
